symbol,name,sector
LT,Larsen & Toubro Ltd.,Construction
LTF,L&T Finance Ltd.,Financial Services
LTM,LTM Ltd.,Information Technology
LUPIN,Lupin Ltd.,Healthcare
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services
MANKIND,Mankind Pharma Ltd.,Healthcare
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MCX,Multi Commodity Exchange of India Ltd.,Financial Services
MFSL,Max Financial Services Ltd.,Financial Services
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,MphasiS Ltd.,Information Technology
MRF,MRF Ltd.,Automobile and Auto Components
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining
NAUKRI,Info Edge (India) Ltd.,Consumer Services
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
NHPC,NHPC Ltd.,Power
NMDC,NMDC Ltd.,Metals & Mining
NTPC,NTPC Ltd.,Power
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
OBEROIRLTY,Oberoi Realty Ltd.,Realty
OFSS,Oracle Financial Services Software Ltd.,Information Technology
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
PAGEIND,Page Industries Ltd.,Textiles
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PAYTM,One 97 Communications Ltd.,Financial Services
PERSISTENT,Persistent Systems Ltd.,Information Technology
PFC,Power Finance Corporation Ltd.,Financial Services
PHOENIXLTD,Phoenix Mills Ltd.,Realty
PIDILITIND,Pidilite Industries Ltd.,Chemicals
PIIND,PI Industries Ltd.,Chemicals
PNB,Punjab National Bank,Financial Services
POLICYBZR,PB Fintech Ltd.,Financial Services
POLYCAB,Polycab India Ltd.,Capital Goods
POWERGRID,Power Grid Corporation of India Ltd.,Power
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods
PREMIERENE,Premier Energies Ltd.,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,Realty
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods
RECLTD,REC Ltd.,Financial Services
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
RVNL,Rail Vikas Nigam Ltd.,Construction
SAIL,Steel Authority of India Ltd.,Metals & Mining
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
SBIN,State Bank of India,Financial Services
SHREECEM,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services
SIEMENS,Siemens Ltd.,Capital Goods
SOLARINDS,Solar Industries India Ltd.,Chemicals
SRF,SRF Ltd.,Chemicals
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
SUPREMEIND,Supreme Industries Ltd.,Capital Goods
SUZLON,Suzlon Energy Ltd.,Capital Goods
SWIGGY,Swiggy Ltd.,Consumer Services
TATACAP,Tata Capital Ltd.,Financial Services
TATACOMM,Tata Communications Ltd.,Telecommunication
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services
TATAPOWER,Tata Power Co. Ltd.,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining
TCS,Tata Consultancy Services Ltd.,Information Technology
TECHM,Tech Mahindra Ltd.,Information Technology
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components
TITAN,Titan Company Ltd.,Consumer Durables
TMCV,Tata Motors Ltd.,Capital Goods
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare
TRENT,Trent Ltd.,Consumer Services
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
UNIONBANK,Union Bank of India,Financial Services
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods
UPL,UPL Ltd.,Chemicals
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,Metals & Mining
VMM,Vishal Mega Mart Ltd.,Consumer Services
VOLTAS,Voltas Ltd.,Consumer Durables
WAAREEENER,Waaree Energies Ltd.,Capital Goods
WIPRO,Wipro Ltd.,Information Technology
YESBANK,Yes Bank Ltd.,Financial Services
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare
